,Stock,User,Comment,Comment Time
2379,KARSN,unknown unknown,"yarin kaldigimiz yerden devam insallah. hayirli aksamlar, hayirli iftarlar herkese (:",1 saat önce
2380,KARSN,Sadi Ufuk Çağlayanlar,malimiza sahip cikaliiimm :-) ytd.,2 saat önce
2381,KARSN,Zafer Arıoğlu,yik gec artik bendini sovdurme kendine,2 saat önce
2382,KARSN,unknown unknown,nereden bakarsan bak her durumda ortalamalarin uzerinde duruyor. yarinda boyle devam ederiz insallah. su ikili tepeden gelen duseni bu sefer kirip gecersek cok daha guzel olacaktir.,2 saat önce
2383,KARSN,ahmet sasi,simsiki tas gibi duruyor masallah,2 saat önce
2384,KARSN,Cem Öncül,abd enflasyonu bizi olumsuz etkiliyor :(,2 saat önce
2385,KARSN,SabredenBorsacı,soguncularin adresi : tek - i̇mas i̇s mak. mut. mad. muh. san. ve tic. a.s. gobasi / ankara,2 saat önce
2386,KARSN,Yeşil Limon,alis satis derinlik goremeyenler youtbe @serhat1279 takip edebilirsiniz,3 saat önce
2387,KARSN,Sadi Ufuk Çağlayanlar,maliniza sahip cikiiiiiinnn :-)ytd.,4 saat önce
2388,KARSN,Abuzer Kömürcü,bu kagit adami madam yapar madam,4 saat önce
2389,KARSN,Cem Öncül,"abd yillik enflasyon %3,2... hayirlisi",4 saat önce
2390,KARSN,ahmet sasi,adam adam adam adaaaaam,4 saat önce
2391,KARSN,Mehtap Karabulut,ben sok,4 saat önce
2392,KARSN,Sadi Ufuk Çağlayanlar,maliniza sahip cikin :-) ytd,4 saat önce
2393,KARSN,As Papaz,hayret bugun de 11.75'ten sattik ama dusecek gibi gorunmuyor aksama olabilir miyiz yeniden,4 saat önce
2394,KARSN,SabredenBorsacı,"asesan ile ortal elektirikli arac uretimleri tam gaz devam ediyor , hisse degerli",4 saat önce
2395,KARSN,As Papaz,hayret bugun de 11.75'ten sattik ama dusecek gibi gorunmuyor aksama olabilir miyiz yeniden,5 saat önce
2396,KARSN,SabredenBorsacı,"asesan ile ortal elektirikli arac uretimleri tam gaz devam ediyor , hisse degerli",5 saat önce
2397,KARSN,Celâl Öz,beyler kap ne diyor kisaca ?,5 saat önce
2398,KARSN,Hüseyin Büyük Akmanlar,ne oldu bu itneye yine,5 saat önce
2399,KARSN,AKGÜL AKGÜL,"beyler bende : xrp , karsan , galatasaray hepsi var ama aslan 🦁 payi karsanin...",5 saat önce
2400,KARSN,unknown unknown,ne haber dusecek acaba ((:,5 saat önce
2401,KARSN,erdem parlak,roketciler forma usussun soyle ucacak boyle kacacakcilar buyrun sayfa sizin,5 saat önce
2402,KARSN,unknown unknown,cigerini sokeceksin yavas :d hayvan gibi seyapma. ((:,5 saat önce
2403,KARSN,AKGÜL AKGÜL,bu eni̇k ne?? yapmaya calisayorrrr...,6 saat önce
2404,KARSN,KESİNLİKLE YTD,12.06,7 saat önce
